Defect ID,Title,App / Module / Page,Journey,Steps to Reproduce,Expected,Actual,Severity,Type,Repro Rate,Evidence,Status
PX-119,Incident report cannot be submitted by anyone — dead process,Portal /portal/report/incident step 2,Log an incident,1. Open /portal/report/incident  2. Select any customer  3. Continue  4. Open the required 'Role' dropdown  5. Click Continue,Selectable workforce roles; form completable to submission,Dropdown returns 'No matches found' (zero options). Continue blocked by 'Role is required'. No route past step 2 by any means.,P0,Functional,2/2,GET /api/v1/admin/config/lookup/workforce_roles?is_active=true -> 200 empty; in-form banner 'No workforce roles found',New
PX-120,Six of eight form lookup categories unconfigured on production,/admin/lookups,Configure intake forms,1. Open /admin/lookups  2. Review the eight categories,All categories used by live forms populated before go-live,"Not configured: Incident Types, Complaint Types, Severity Levels, Workforce Roles, Medical Assistance, Emergency Services. Only Customers (8) and Assets (98) populated.",P0,Configuration,2/2,Screen states 'No options yet - forms using this category will show an empty dropdown until you configure it',New
PX-155,"No audit trail — platform records no create, update, delete or login activity",/audit-trail,Any audited action,1. Open /audit-trail  2. Set filter to All Actions / All Modules / All Time,"Complete history of system activity, exportable","'No activity logged yet. The audit trail API returned no events. This environment is not recording login, create, update, or delete activity yet - not a filtered empty register.'",P0,Data,2/2,Full filter set and Export Log button render against zero rows,New
PX-168,No investigation or corrective action can be assigned an owner — every employee is unselectable,Investigation + Add Action assignee pickers,Assign ownership,1. Open an incident  2. Start Investigation (or Add Action)  3. Type any letter in Lead Investigator / Assign To,Selectable employees; a named owner recorded,All 84 employees are returned but every one is greyed out with 'No login - link on Employees profile to assign'. Clicking one does not populate the field. Identical on both pickers.,P0,Functional,2/2,Field value unchanged after selection; 82 greyed entries for query 'a',New
PX-178,Frontend silently switches between the PRODUCTION and STAGING backends mid-session,Whole application,Any,1. Use the app while production is healthy  2. Continue after a production 503 / session expiry  3. Inspect the API host on the wire,"One pinned environment, clearly indicated",All calls moved from app-qgp-prod.azurewebsites.net to qgp-staging-plantexpand.azurewebsites.net with no user action and no UI indication. App polls /readyz on prod. Data differs: 128 risks on prod vs 0 on staging. Staging itself returns 500 on several endpoints.,P0,Data,2/2,55 captured calls all on staging host; /readyz probe; prod then 401s,New
PX-248,"The AI Copilot fabricates compliance and risk data, including named records that do not exist",Global header Copilot,Ask the assistant about compliance or risk,1. Open Copilot  2. Send its own suggested prompt 'Compliance Status'  3. Send 'Risk Summary',Live data or an honest inability to answer,"'Compliance Status' returned Overall Compliance 92% with six ISO clause categories scored 85-95% - nothing anywhere in the platform reports 92%; actual screens report 0-57%. 'Risk Summary' returned Critical 2, High 8, Medium 15, Low 23 (total 48) against an actual register of 130 with 0 Critical, 1 High, 2 Medium - and named two risks that do not exist, 'Supply Chain Disruption (Score 20)' and 'Cybersecurity Threat'. A direct data question produced no answer at all. It offers to create actions and treatment plans from the fabricated findings. Reachable from every screen; the fabricating prompts are the ones it suggests; the fabrications flatter.",P0,Data,3/3,Both suggested prompts plus a control question; every figure cross-checked against source registers,New
PX-255,"UVDB sections containing no questions are scored at 93-100%, producing a fabricated 99% qualification score",/uvdb Protocol Sections,Report UVDB qualification,1. Open Protocol Sections  2. Inspect each section,Unassessed sections scored zero or excluded,"Sections 3-11 are explicitly labelled 'Questions pending PDF' - they contain no questions - and are scored 93-100% with full green bars: S4 Risk Assessment and Safe Systems of Work 93%, S5 Workplace Safety 100%, S6 Occupational Health 100%, S7 Competence Training and Supervision 100%, S8 Environmental Policy 100%, S9 Environmental Aspects 97%, S10 Waste 100%, S11 Sustainability 100%. Only sections 1-2 hold questions. This produces the 99% average across AUD-2026-0042/0043/0048. Achilles UVDB Verify B2 determines whether Plantexpand can bid for utilities work; the empty sections scoring 100% are the four most safety-critical areas of the qualification. Scoring absent content as perfect converts 'not assessed' into 'passed'.",P0,Data,2/2,Every section inspected individually and screenshotted,New
PX-281,The customer complaint portal journey cannot be completed; submission fails with HTTP 422 and is unrecoverable,/portal/report/complaint,Log a customer complaint,1. Select customer  2. Enter complainant name and contact  3. Enter complaint description  4. Submit,Complaint created,"POST /api/v1/portal/reports/ returns HTTP 422, reproduced twice. UI shows only 'Submission failed. Please try again.' - no field, no reason, no route to resolution, and retrying can never succeed because the missing data is not something the user can supply. Root cause is the same empty Workforce Roles lookup as PX-119/120. Worse than PX-119 because the incident form blocks visibly at the field whereas this form lets a customer-facing employee complete three steps - customer, complainant, contact, full narrative - and then discards all of it. With PX-192 (complaints register is 6 of 6 test data), no real customer complaint has ever successfully entered the system.",P0,Functional,2/2,422 captured on the wire twice; all required fields completed,New
PX-312,Help Centre guarantees anonymous reporting that does not exist anywhere in the product,Portal /portal/help - 'Anonymous Reports' category,Employee reports a concern they do not want attributed to them,1. Open /portal/help  2. Expand 'Is my identity really protected when I report anonymously?'  3. Attempt to find the toggle on any of the four intake forms,"Either the feature exists and behaves as described, or the Help Centre does not promise it","Published to employees verbatim: 'Yes, 100%. When you enable the anonymous toggle, no personal information is recorded. We don't track IP addresses or device information for anonymous reports. Only the report content is stored.' and 'Yes! When you submit an anonymous report, you'll receive a secret tracking code'. There is no anonymous toggle, no secret tracking code and no anonymous submission path. All 20 loaded JavaScript chunks (5,101,942 characters, including all four form chunks) were downloaded and searched: is_anonymous 0 occurrences; of 28 hits for 'anonymous' every one is browser/framework plumbing or that FAQ copy itself. All four forms prefill and submit the reporter's real name. Graded P0 on domain stakes: a published absolute anonymity promise the software does not honour is a safety-culture failure, a credible whistleblowing-law exposure, and indefensible in a UKPN or National Grid audit. The remedy is a pre-launch decision - remove the two FAQs and the category, or build the feature.",P0,Content,2/2,False anonymity promise removed in #1294/#1352. Walk-away decision: keep anonymous reporting OFF. UI hard-off PR #1523 OPEN (2026-08-02). Policy residual until #1523 merges + retest.,Partially closed — honesty
PX-315,'Track My Report' is a dead process - EVERY report detail view returns 404,Portal /portal/track -> /portal/track/{reference},Employee checks the status of a report they submitted,1. Open /portal/track - the list renders 11 reports correctly  2. Click any row,"The report detail - status, progress, updates, outcome","The app routes to /portal/track/{ref} and shows 'Not Found - Report not found. Please check your reference number.' The user did not type a reference; they clicked a row the application itself rendered. Root cause confirmed at the API: GET /api/v1/portal/my-reports/ returns 200 with the report, GET /api/v1/portal/reports/{ref}/ returns 404 ENTITY_NOT_FOUND. Scope is total, not intermittent - six references covering all four report types and three submission dates were requested directly and 6 of 6 returned 404 (NM-2026-2F0C29E6, INC-2026-0060, RTA-2026-017830B4, COMP-2026-85781C3D, INC-2026-0021, NM-2026-5CC1D255). No client-side workaround exists: the list payload exposes only reference_number, report_type, title, status, status_label, submitted_at and updated_at - there is no id or UUID to substitute, and every string field was tried as an identifier and returned 404. A dead process on a headline hub tile, for every user and every report.",P0,Functional,"2/2 UI, 6/6 API",Network log showing 200 on list and 404 on detail for the same reference; direct authenticated API results for all six references,New
